Text,Spam
"Subject: my accomplishment  attached please find a brief description of my accomplishment during 7 / 1 / 00  to 11 / 14 / 00 , which might be useful for the pep system .  - chonawee",0
"Subject: re : mobile scanner 5 inl system for corporate usage ( a range of portable scanners )  dear sir ,  we are pleased to announce the launch of new , unique and patented mobile  5 inl system from our most wellknown corporate portable products e - shopping  website for india .  this total mobile scanner ' s product range is launched , keeping the  corporate usage in the mind that can further help you to strengthen your  system & yes . . . . neeedless to mention it will be equally efficient too .  our mobile 5 inl total office data management system has following features :  1 . lightest in weight : just 340 gms  2 . smallest in size : just 10 cms in length and 3 cms in width  3 . fastest in speed : 3 pages per minute and 9 biz cards per minute  4 . highest in resolution : 1200 * 600 dpi  5 . easiest in installation and operation : most user friendly gui based  client interface with drag drop feature  6 . widest in application : bundled with world no . 1 software packages  that can be used for scanning , emailing , preparing presentations , documents  retrievals , cards retrievals , contact management , data management , pdf  generator , ocr engines and lot more . . .  6 . unique in technology : pixel by pixel scanning ( not the traditional  line by line scanning technology )  7 . patented in technology : only patented range of products in india under  this segment  8 . most appreciated by business magazines world wide  9 . has sound track record of satisfied clients worldwide  10 . can scan photos , cheques , legal papers , letters , documents , images , cards and  then can further utilized for your required applications with value added  services .  11 . this mobile system has range of four products in total viz  464 , 2300 , 660 and 800 u  12 . range starts from rs . 6 , 500 to rs . 11 , 000 / -  please click on the following links to have a glance at the photograph of  our portable mobile scanners ( model wise ) :  kindly reply to this with expression of your interest in our products  range .  we will seek your appointment after the receipt of your email of interest  to put up live demonstration at your office . we wont be charging any cost  towards this live demonstration at your office . we are also looking for  dealers across the country ( india ) .  with warm regards  s / d  ms . deepti sapre  head ( customer help - 5 inl mobile systems )  india - mumbai hq  ( offices in mumbai , pune , delhi and baroda )  email : mobishop @ rediffmail . com  cell phones : + 919820640281 | + 919820501457",1
"Subject: your online sales are low because you don _ t have enough visitors ?  submitting your website in search engines may increase  your online sales dramatically .  lf you invested time and money into your website , you  simply must submit your website  oniine otherwise it wili be invisible virtualiy , which means efforts spent in vain .  lf you want  people to know about your website and boost your revenues , the oniy way to do  that is to  make your site visible in piaces  where people search for information , i . e .  submit your  website in muitipie search enqines .  submit your website oniine  and watch visitors stream to your e - business .  best regards ,  cecilybaxter _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ not interested . . . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _",1
"Subject: give her something to smile about  my girlfriend loves the results , but she doesn ' t know what i do . she  thinks  it ' s natural - thomas , ca  i ' ve been using your product for 4 months now . i ' ve increased my  length from 2  to nearly 6 . your product has saved my sex life . - matt , fl  pleasure your partner every time with a bigger , longer , stronger unit  realistic gains quickly  to be a stud press  here  then he remembered his manners and bowed low before the king , who  seemed to him a fine fellow and not a bit stuck up  this does not  interest me  he ' s pretty well and then he walked calmly from the palace  the people in the outer room stared at him wonderingly and the officer of  the guard saluted the boy respectfully",1
"Subject: public affairs organizational announcement  i am pleased to announce the following changes in the government and  regulatory affairs organization :  rick shapiro  ) managing director of government affairs for the americas .  rick is currently leading the government and regulatory affairs teams for the  us and canada . he will now assume responsibility for north and south  america . ricardo charvel ( senior director of government affairs for  mexico ) , jose bestard ( vice president of government affairs for south  america ) , and joe hillings ( vice president of federal government affairs )  will now report to rick . rick and his team will support enron  , s north  american business units as well as the caribbean and southern cone regions .  mark schroeder  ) vice president government affairs for europe , asia and  africa . mark is currently leading the government and regulatory affairs  teams for enron europe . he will now assume the additional responsibility of  supporting the apachi and india organizations . jane wilson will now focus  her attention on enron india and will report to mark as will our government  and regulatory affairs teams serving the apachi region .  mike terraso  ) vice president environment , health & safety and chief  environmental officer . mike is currently serving as vice president of  environment , health and safety for the gas pipeline group . mike has  increasingly become involved in environmental issues facing enron  , s  businesses around the world . mike will retain his current responsibilities  and will assume leadership of the environmental affairs team .  john hardy  ) vice president global project finance . john will report  directly to me and will continue his current responsibilities representing  enron before us and multilateral project finance agencies .  please join in me in congratulating these individuals on their  responsibilities .  attached is a revised organization chart reflecting these changes .  attachment :",0
"Subject: fwd : credit applicatiions in grms  return - path :  received : from rly - yho 3 . mx . aol . com ( rly - yho 3 . mail . aol . com [ 172 . 18 . 147 . 35 ] )  by air - yho 3 . mail . aol . com ( v 67 _ bl . 21 ) with esmtp ; fri , 28 jan 2000 17 : 34 : 19  - 0500  received : from mailman . enron . com ( mailman . enron . com [ 192 . 152 . 140 . 66 ] ) by  rly - yho 3 . mx . aol . com ( v 67 _ bl . 21 ) with esmtp ; fri , 28 jan 2000 17 : 34 : 06 - 0500  received : from dservl . ect . enron . com ( dservl . ect . enron . com [ 172 . 16 . 1 . 37 ] ) by  mailman . enron . com ( 8 . 8 . 8 / 8 . 8 . 8 / corp - 1 . 03 ) with esmtp id waal 2938 for  ; fri , 28 jan 2000 22 : 33 : 40 gmt  received : from notes . ect . enron . com ( notes . ect . enron . com [ 172 . 16 . 4 . 33 ] ) by  dservl . ect . enron . com ( 8 . 8 . 8 / 8 . 8 . 8 ) with smtp id qaa 21960 for  ; fri , 28 jan 2000 16 : 34 : 05 - 0600 ( cst )  received : by notes . ect . enron . com ( lotus smtp mta v 4 . 6 . 5 ( 863 . 2 5 - 20 - 1999 ) )  id 86256874 . 007 bf 6 c 3 ; fri , 28 jan 2000 16 : 34 : 00 - 0600  x - lotus - fromdomain : ect  from : "" vince j kaminski ""  to : vkaminski @ aol . com  message - id :  date : fri , 28 jan 2000 16 : 33 : 56 - 0600  subject : credit applicatiions in grms  mime - version : 1 . 0  content - type : text / plain ; charset = us - ascii  content - disposition : inline  content - transfer - encoding : 7 bit  - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 01 / 28 / 2000  04 : 33  pm - - - - - - - - - - - - - - - - - - - - - - - - - - -  bjorn hagelmann  01 / 28 / 2000 09 : 25 am  to : william s bradford / hou / ect @ ect , jonathan le / hou / ect @ ect , gary  hickerson / hou / ect @ ect , philippe a bibi / hou / ect @ ect , vince j  kaminski / hou / ect @ ect  cc : rick buy / hou / ect @ ect , mike mcconnell / hou / ect @ ect  subject : credit applicatiions in grms  this note is from ted murphy ( not bjorn hagelman )  my understanding is that yet another meeting has been scheduled with the  intent  of diverting resources from the grms project to some other project .  while i am not privy to the urgency of this other project , i do know that we  have a very large , multi - phase project going in grms .  grms stands for the global risk monitoring system . it is not intended to be a  commercial trading product not is its primary purpose for commercial  decision - making . conceptually , it is a risk warehouse for the primary purpose  of rac due to the deficiency of current front office trading systems and their  inability to provide timely , aggregated information useful to rac .  rac has spent over a year developing a business plan scope and detailed task  list to accomplish its objectives . as a firm we are woefully behind our press  clippings in our ability to aggregate and understand our risk profile . my  most  recent sojorn in europe is a classic example of the current systems inabilty  to  aggregate and meet the needs of rac having abetted poor decision making and  causing cash losses in well in excess of the grms budget or that of the market  risk group in rac .  the grms project is a requirement that bill bradford and i have in order to do  our jobs . we have delegated authority to debbie brackett and rudi zipter to  make decisions regarding priorities and as such meet regularly with jonathon  and  his team as well as rick buy to provide updates . while progress is never as  fast as we would like it , in every instance in which we have only to rely on  rac , jonathon ' s team and research to make a deadline it haas been hit . the  primary reason for any delays whatsoever has been the diversion of resources  off  the project or the reliance for cooperation from some other source - most  recently the it staff in london was a tremendous impediment to deadlines .  please excuse the frustration that is apparently coming through in this note ,  but i feel like the boy with his finger in the dyke and no one is listening .  also , i have had several employees come to resignation over their frustration  on  the lack of management support for this project , usually manifesting itself in  the lack of resources or the diversion of resources devoted to it .  i think we have proven collectively that we can organize a modular multiphase  project and provide tangible deliverables when not distracted . please let us  do  our jobs . i do not denigrate the efforts of others , but i believe that they  must either submit their detailed requirements to us for our consideration of  their worthiness to put in our que or develop their own project with their own  resources .  thank you for your consideration of this opinion . as it relates to things  that  will effect the ability of market risk to do its job , please consult me as i  would you .  ted",0
"Subject: hello  from = seko moshood mobutu  tel = 234 - 1 - 776 - 2397  dear friend  i am the first son of the late mobutu sese seko , the  former  president  of the congo republic . i am presently under  protective custody  in nigeria  as  a political refugee . i got your contact over the internet during my  search for a  stranger  that  can cooperate with me in this mutual transaction . i took this option because my family friends and associates cpuld not be trusted any more since they contributed to my present predicament .  i want you to note that this business will benefit  both of us .  however ,  you must confirm your ability to handle this because  it involves  a large  amount of money . the money ( 50 million us dollars is  my share of  my  father ' s  estate . i boxed and shipped the money to a security  company  abroad at the  peak of the war / political crisis that rocked my  country few  years ago . now  the crisis has ended and i need a trustworthy person  like you to  proceed to  the place of the security company in order to clear  the fund and  invest on  my behalf as i dont want my name to be used for now .  note that i will send to you the relevant documents  that will  enable  you take possesion of the the fund for onward  investment for our  mutual  benefit . all i need from you is as follows :  1 . a letter of committment ( duely signed ) that you  will keep the  transaction strictly confidential .  2 . your confirmation of your ability to handle this .  3 . your international identity or driving licence  number for  identification  to the security company .  4 . your telephone and fax numbers for communication .  5 . your full permanent address .  as soon as i get the above information from you , i  will disclose  to  you the name and the country of the security company .  i will  forward your  name and particulars to the security company to enable  them contact you  accordingly . i will also send to you a letter of  authority to  enable you  clear the fund on my behalf . note that this is a very  safe  transaction as  this money is my share of my father ' sestate .  i am waiting for your response to enable us proceed .  regards ,  moshood seko mobutu",1
"Subject: fyi - lacima run a 2 day course - uts on weather derivatives - first  w / e sept  - - - - - - - - - - - - - - - - - - - - - - forwarded by raymond yeow / enron _ development on  07 / 14 / 2000 08 : 23 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  "" chris strickland "" on 07 / 14 / 2000 05 : 01 : 12 am  please respond to "" chris strickland ""  to : "" shane dallmann ""  cc : "" julie "" , "" les "" , "" raymond yeow ""  , "" paul quilkey ""  subject : run a 2 day course - uts on weather derivatives - first w / e sept  hi shane ,  thanks for your e - mail . we actually sent the 9 of the 11 chapters off to the  typesetter today and i will forward you our word documents in the morning .  i ' ve been travelling a lot to the uk at the moment and so haven ' t spent much  time with the student myself . are you going to te energy confernece next  week , perhaps we can meet up there ?  good to hear about the weather . we are actually going to run a two day  course thru uts on weather derivatives the first weekend of september . feel  free to tell your potential clients about it if you think it will bring up  the industry knowledge . maybe we can associate your name with the course  somehow which might help both of us ?  c .  - - - - - original message - - - - -  from : shane dallmann  to :  cc : paul quilkey ; raymond yeow  sent : thursday , july 13 , 2000 1 : 56 pm  >  >  >  > chris ,  >  > how are things going ? i see that you are presenting at australian energy  risk  > 2000 along with vince kaminski who will be out from the us  >  > i was wondering how the book is going and whether we ' re likely to get a  copy  > ( just notes would do ) any time soon . or are you still waiting on those  slack  > enron people to finish it ? ( maybe you can corner him while he ' s here ) . if  i  > remember correctly from when you were here , you were going to give us a  copy of  > the notes and then we were going to sit down and decide what exactly we  wanted  > you to cover in an in - house course .  >  > paul also told me about a student of yours that was going to get in touch  with  > me but i have not heard anything yet .  >  > enron australia is also going to launch weather in the next couple of  weeks and  > would like to invite you and les along , so can you send me an address we  can  > send invitations to if you ' re interested .  >  > regards ,  >  > shane  >  >",0
"Subject: re : university of texas conference on energy finance , february 2001  vince , i am checking the date on jeff ' s calendar ( i ' m assuming the date is  february 22 ? ) . i am holding that date whole week for a trip abroad , but i  think we have some flexibility on that and am checking it out . i ' ll be back  in touch as soon as i ' ve resolved that . srs  vince j kaminski @ ect  09 / 20 / 2000 11 : 41 am  to : jeff skilling / corp / enron @ enron  cc : vince j kaminski / hou / ect @ ect , richard causey / corp / enron @ enron  subject : university of texas conference on energy finance , february 2001  jeff ,  our friends at the university of texas are planning a conference on energy  economics and finance in february of next year . they would like very much to  have  you as a keynote speaker .  given our good , long - term relationship with ut , i would recommend  that you speak at this conference . i talked to prof . ehud ronn  a few times about the program and i think that this will be  an excellent forum to present enron ' s accomplishments and  agenda for the future .  i am sure that rick causey will join me in making the same recommendation .  vince",0
"Subject: re : grades  mr . kaminsky ,  i still need grades for :  israni , rakhi  lu , feng  planck , jeffrey  so , winny  taylor , orlando  wankhade , sanjay  zhang , ning  i will be available by e - mail this evening or by phone ( 5 : 30 or so ) at 713 - 668 - 1704 . i just called the registrar ' s office and if i bring in the grades by 8 : 30 tomorrow morning we will be fine . please advise .  thanks for your help . - pam  at 08 : 23 am 5 / 4 / 01 - 0500 , vince . j . kaminski @ enron . com wrote :  pam ,  the last group .  please , let me know if any name is missing .  ( embedded image moved to file : pic 25177 . pcx )  grade : a  thanks a lot . it was a pleasure working with you .  vince kaminski",0
"Subject: re : our workshop  helyette ,  sorry for not getting back to you earlier .  my schedule was quite crazy over the last few days .  i shall be in london on sunday meeting my group for dinner at 7 : 30 . can i  call you around  6 : 00 - 6 : 30 ?  vince  p . s . you can send a reply to my aol address .  vince  gemanix @ aol . com on 09 / 29 / 2000 11 : 27 : 51 am  to : vince . j . kaminski @ enron . com  cc :  subject : our workshop  dear vince ,  our workshop has already 20 registered delegates ,  which is very good given the french power situation .  moreover , french people tend to be fairly educated  and we should coordinate a little bit .  i am leaving in 30 minutes for 2 days . can we talk on sunday  at 7 or 8 p . m my time ? my 2 numbers will be  33 1 46040110 or 33 6 08074200  alex would agree to speak for a while as we did in francfort .  karla sent me a proposal for the escrow problem . i had a  further question in your direction regarding "" system support "" .  karla , as you know , would kindly like to wrap up the contract  before moving to a new department and i will do my very  best to satisfy her wish and your feasible requests .  kind regards  helyette",0
Subject: merry xmas and a happy new year !  hi all  merry xmas and a happy new year !  les .,0
"Subject: re : charles shen  thanks so much , vince - - i couldn ' t agree with you more .  molly  vince j kaminski  11 / 27 / 2000 02 : 40 pm  to : molly magee / hou / ect @ ect  cc : vince j kaminski / hou / ect @ ect  subject : re : charles shen  molly ,  i think you called his bluff . if he does not fax a copy of his paycheck stub ,  we should not talk to him . he never talked to me about it . if he made a true  statement  about his compensation , he should have no reservations about sending us the  confirmation .  vince  enron north america corp .  from : molly magee 11 / 27 / 2000 01 : 58 pm  to : vince j kaminski / hou / ect @ ect  cc :  subject : charles shen  vince : i left you a voicemail about charles shen a week or so ago , but  wanted to follow up with you . when i called him to extend our offer to him ,  he expressed surprise at the base salary offer of $ 110 , 000 , and told me that  he was currently earning base pay in the amount of $ 120 , 000 . i told him  that the salary figure he had written himself on the application was  $ 102 , 000 , but he insisted that he had made an error and that it should have  been $ 120 , 000 . i asked him what base salary he was looking for , and he said  he would expect at least a 10 % increase in his base . i then told him that i  was not authorized to make an offer above our initial one , and would contact  you and get back to him .  i called him later that afternoon and asked him to fax me a copy of his last  paycheck stub so that we could minimize the confusion about his base pay . he  said that he would be happy to do so , but i never received the fax . he left  me a voicemail message during the evening that said he was on vacation and  didn ' t have access to the pay stubs , but would send me a copy when he  returned .  i have not heard from him since , and wondered if he had contacted you . if  not , would you want to get together to discuss our next step ?  i ' ll wait to hear from you ,  molly  x 34804",0
"Subject: re : wharton tiger team # 3  i have reserved conference room 32 c 2 for thursday , feb 1 , feb 8 , and feb 15  from 3 : 30 - 5 : 30  john to teleconference in tomorrow ( feb 1 ) call 713 - 853 - 9554  please let me know if wharton is using a different number from last week so  that i can inform the scheduling people  melinda  x 31641  christie patrick @ ect  01 / 30 / 2001 06 : 34 pm  to : melinda mccarty / corp / enron @ enron  cc : jhenders @ newpower @ ees , vince j kaminski / hou / ect @ ect ,  degiacic @ wharton . upenn . edu  subject : re : wharton tiger team # 3  melinda ,  would you please coordinate john henderson into the thursday videoconference ?  thanks !  - - christie .  - - - - - - - - - - - - - - - - - - - - - - forwarded by christie patrick / hou / ect on 01 / 30 / 2001  06 : 31 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -  mohn henderson @ newpower  01 / 30 / 2001 04 : 13 pm  sent by : melissa corley @ newpower  to : christie patrick / hou / ect @ ect @ ees  cc : jhenders @ newpower @ ees , vince j kaminski / hou / ect @ ect , melinda  mccarty / corp / enron @ enron , degiacic @ wharton . upenn . edu  subject : re : wharton tiger team # 3  john would prefer to join the thursday call via teleconference . if you could  provide the dial in number he will call in .  thanks ,  melissa corley  john henderson  christie patrick @ ect  01 / 30 / 2001 03 : 50 pm  to : jhenders @ newpower @ ees , vince j kaminski / hou / ect @ ect  cc : melinda mccarty / corp / enron @ enron , degiacic @ wharton . upenn . edu  subject : wharton tiger team # 3  hi john and vince !  john , hopefully you received my voice mail regarding the matter set forth  below .  i ' m in ny now and won ' t return until thursday morning . perhaps it would be  easiest for john to come to the video conference on thursday ( if he ' s in  houston ) or via telephone if he ' s travelling ? ?  whatever you both think is best . . please let me know !  my assistant , melinda mccarty , is setting up the call location at the enron  building , as well as the dial - in number with donna piazze at wharton .  melinda , please include john in the distribution of the video conference  location .  thanks !  - - - - - - - - - - - - - - - - - - - - - - forwarded by christie patrick / hou / ect on 01 / 30 / 2001  03 : 43 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -  "" degiacinto , clayton "" on 01 / 30 / 2001 02 : 00 : 07 pm  to : "" ' christie . patrick @ enron . com ' ""  cc : "" feerick , dennis "" , "" lessar , stephen ""  , "" vittal , maheshram "" ,  "" bassal , omar "" , "" cummins , marc ""  subject : wharton tiger team # 3  christie ,  as we talked last thursday via video teleconference , we are planning to  narrow our scope to focus on a marketing / promotion plan for newpower  including value - added products and services for the future . before we talk  again on thursday , we would like to speak with john henderson again to see if  he recommends any specific items he would like us to address .  we are having trouble contacting him and wonder if you could facilitate a  phone meeting between us , or if it would be best to include him in our next  video teleconference . we are available the next two days at lpm and 4 pm  houston time .  we understand that john is a very busy person , and we appreciate any help you  can give in getting us together to ensure our work is commensurate with his  expectations .  thanks ,  enron team 3 ( retail )",0
